"num","conm","tic","gvkey_chr","cusip","first_date","last_date","fds","Num_Articles","Num_Duplicates","Downloaded","Num_Files"
"197","ROSS STORES INC","ROST",9248,"778296103",2009-12-31,2018-06-30,"ROSTI",180,129,1,2
"198","ROWAN COMPANIES PLC","RDC",9258,"G7665A101",2004-01-31,2014-07-31,"RWANC",137,33,1,2
"199","RYDER SYSTEM INC","R",9299,"783549108",2004-01-31,2017-05-31,"RYDSYS",213,54,1,3
"200","ST JUDE MEDICAL INC","STJ",9372,"790849103",2004-01-31,2016-12-31,"STJM",455,206,1,5
"201","HILLSHIRE BRANDS CO","HSH",9411,"432589109",2004-01-31,2012-05-31,"CONFOD",495,127,1,5
"202","SCHLUMBERGER LTD","SLB",9465,"806857108",2004-01-31,2018-06-30,"SLUMB",648,238,1,7
"203","SEALED AIR CORP","SEE",9555,"81211K100",2004-01-31,2018-06-30,"WRGRCE",299,152,1,3
"204","SMITH (A O) CORP","AOS",9771,"831865209",2017-07-31,2018-06-30,"AOSM",8,0,1,1
"205","SMITH INTERNATIONAL INC","SII",9772,"832110100",2006-10-31,2010-07-31,"SMITHI",27,7,1,1
"206","SMUCKER (JM) CO","SJM",9777,"832696405",2008-11-30,2018-06-30,"SMCKR",233,110,1,3
"207","EDISON INTERNATIONAL","EIX",9846,"281020107",2004-01-31,2018-06-30,"SOUCED",244,82,1,3
"208","SOUTHWEST AIRLINES","LUV",9882,"844741108",2004-01-31,2018-06-30,"SWAIRL",592,160,1,6
"209","SOUTHWESTERN ENERGY CO","SWN",9904,"845467109",2008-06-30,2017-03-31,"SWENPO",94,59,1,1
"210","STANLEY BLACK & DECKER INC","SWK",10016,"854502101",2004-01-31,2018-06-30,"STANWO",226,111,1,3
"211","STATE STREET CORP","STT",10035,"857477103",2004-01-31,2018-06-30,"SSBT",718,157,1,8
"212","PUBLIC STORAGE","PSA",10096,"74460D109",2005-08-31,2018-06-30,"SEQ",90,41,1,1
"213","SUNTRUST BANKS INC","STI",10187,"867914103",2004-01-31,2018-06-30,"SUNFLA",309,125,1,4
"214","SYMBOL TECHNOLOGIES","SBL.2",10232,"871508107",2004-01-31,2006-12-31,"SMBL",111,0,1,2
"215","TECO ENERGY INC","TE",10277,"872375100",2004-01-31,2016-06-30,"TECOE",170,43,1,2
"216","RS LEGACY CORP","RSHCQ",10332,"74979E101",2004-01-31,2011-06-30,"TANDIE",420,49,1,5
"217","ALLEGHENY TECHNOLOGIES INC","ATI",10405,"01741R102",2004-01-31,2015-06-30,"ALGTLD",185,31,1,2
"218","TEXAS INSTRUMENTS INC","TXN",10499,"882508104",2004-01-31,2018-06-30,"TXSIL",900,325,1,9
"219","ENERGY FUTURE HOLDINGS CORP","TXU",10507,"873168108",2004-01-31,2007-09-30,"TXUTL",324,0,1,4
"220","THERMO FISHER SCIENTIFIC INC","TMO",10530,"883556102",2004-01-31,2018-06-30,"THRMEL",241,87,1,3
"221","THOMAS & BETTS CORP","TNB",10540,"884315102",2004-01-31,2004-07-31,"TOMBET",10,0,1,1
"222","TOTAL SYSTEM SERVICES INC","TSS",10631,"891906109",2008-01-31,2018-06-30,"TOTSS",52,20,1,1
"223","TOYS R US INC","TOY",10639,"892335100",2004-01-31,2005-06-30,"TOYRUS",111,0,1,2
"224","TRIBUNE MEDIA CO","TRB",10726,"896047107",2004-01-31,2007-11-30,"TRBNE",298,0,1,3
"225","TYSON FOODS INC  -CL A","TSN",10793,"902494103",2005-08-31,2018-06-30,"TYSF",712,290,1,8
"226","UNITED CONTINENTAL HLDGS INC","UAL",10795,"910047109",2015-09-30,2018-06-30,"UAL",132,109,1,2
"227","UNION PACIFIC CORP","UNP",10867,"907818108",2004-01-31,2018-06-30,"UNPACF",508,174,1,6
"228","UNION PLANTERS CORP","UPC.",10868,"908068109",2004-01-31,2004-06-30,"UPCM",3,0,1,1
"229","UNITEDHEALTH GROUP INC","UNH",10903,"91324P102",2004-01-31,2018-06-30,"UHELC",711,323,1,8
"230","UNITED PARCEL SERVICE INC","UPS",10920,"911312106",2004-01-31,2018-06-30,"UPSER",568,273,1,6
"231","UNITED TECHNOLOGIES CORP","UTX",10983,"913017109",2004-01-31,2018-06-30,"UTC",972,450,1,10
"232","UNIVERSAL HEALTH SVCS INC","UHS",11032,"913903100",2014-09-30,2018-06-30,"UHSIB",41,13,1,1
"233","VARIAN MEDICAL SYSTEMS INC","VAR",11115,"92220P105",2007-02-28,2018-06-30,"VARAS",79,21,1,1
"234","VORNADO REALTY TRUST","VNO",11220,"929042109",2005-08-31,2018-06-30,"VNO",238,120,1,3
"235","VULCAN MATERIALS CO","VMC",11228,"929160109",2004-01-31,2018-06-30,"BATCH",211,34,1,3
"236","WALGREENS BOOTS ALLIANCE INC","WBA",11264,"931427108",2004-01-31,2018-06-30,"WLGRN",910,589,1,10
"237","GRAHAM HOLDINGS CO","GHC",11300,"384637104",2007-12-31,2014-08-31,"WSHPST",186,127,1,2
"238","WESTERN DIGITAL CORP","WDC",11399,"958102105",2009-07-31,2018-06-30,"WSTDGT",250,136,1,3
"239","WILLIAMS COS INC","WMB",11506,"969457100",2004-01-31,2018-06-30,"WLMSCO",252,81,1,3
"240","WINN-DIXIE STORES INC","WNDXQ",11535,"974280109",2004-01-31,2004-11-30,"WINDXI",29,0,1,1
"241","WEC ENERGY GROUP INC","WEC",11550,"92939U106",2008-10-31,2018-06-30,"WISCEL",144,14,1,2
"242","ALLIANT ENERGY CORP","LNT",11554,"018802108",2016-07-31,2018-06-30,"WPL",27,3,1,1
"243","INTEGRYS HOLDING INC","TEG",11555,"45822P105",2007-02-28,2015-06-30,"WPSRSS",37,6,1,1
"244","FOOT LOCKER INC","FL",11584,"344849104",2016-04-30,2018-06-30,"WLTH",51,17,1,1
